player_id,Player Name,team_id,team_name,tournament_id,Yellow URL,stage_name,tournament_name,team_code,Second Yellow URL,Red URL,minute_label,match_period,match_name,match_id,Year,Quarter,Month,Day,group_name,booking_id,Sum of yellow_card,Sum of shirt_number,Sum of sending_off,Sum of second_yellow_card,Sum of red_card,Sum of minute_stoppage,Sum of minute_regulation,Sum of home_team,Sum of away_team
P-10014,Fernando Muslera,T-84,Uruguay,WC-2014,https://upload.wikimedia.org/wikipedia/commons/b/b1/Yellow_card.svg,group stage,2014 FIFA Men's World Cup,URY,"","",90'+1',"second half, stoppage time",Italy vs Uruguay,M-2014-38,2014,Qtr 2,June,24,Group D,B-3159,1,1,0,0,0,1,90,0,1
P-10063,Miguel LayÃºn,T-46,Mexico,WC-2018,https://upload.wikimedia.org/wikipedia/commons/b/b1/Yellow_card.svg,group stage,2018 FIFA Men's World Cup,MEX,"","",86',second half,Mexico vs Sweden,M-2018-42,2018,Qtr 2,June,27,Group F,B-3497,1,7,0,0,0,0,86,1,0
P-10072,Jermaine Jones,T-83,United States,WC-2014,https://upload.wikimedia.org/wikipedia/commons/b/b1/Yellow_card.svg,group stage,2014 FIFA Men's World Cup,USA,"","",75',second half,United States vs Portugal,M-2014-32,2014,Qtr 2,June,22,Group G,B-3139,1,13,0,0,0,0,75,1,0
P-10094,Khaled Badra,T-79,Tunisia,WC-2002,https://upload.wikimedia.org/wikipedia/commons/b/b1/Yellow_card.svg,group stage,2002 FIFA Men's World Cup,TUN,"","",81',second half,Tunisia vs Japan,M-2002-46,2002,Qtr 2,June,14,Group H,B-2168,1,2,0,0,0,0,81,1,0
P-10096,Salvador Cabezas,T-27,El Salvador,WC-1970,https://upload.wikimedia.org/wikipedia/commons/b/b1/Yellow_card.svg,group stage,1970 FIFA Men's World Cup,SLV,"","",57',second half,Mexico vs El Salvador,M-1970-13,1970,Qtr 2,June,7,Group 1,B-0768,1,10,0,0,0,0,57,0,1
P-10128,Ailing Liu,T-14,China,WC-1995,https://upload.wikimedia.org/wikipedia/commons/b/b1/Yellow_card.svg,quarter-final,1995 FIFA Women's World Cup,CHN,"","",77',second half,Sweden vs China,M-1995-22,1995,Qtr 2,June,13,not applicable,B-1693,1,10,0,0,0,0,77,0,1
P-10129,Vital Borkelmans,T-06,Belgium,WC-1994,https://upload.wikimedia.org/wikipedia/commons/b/b1/Yellow_card.svg,group stage,1994 FIFA Men's World Cup,BEL,"","",20',first half,Belgium vs Netherlands,M-1994-21,1994,Qtr 2,June,25,Group F,B-1476,1,3,0,0,0,0,20,1,0
P-10129,Vital Borkelmans,T-06,Belgium,WC-1998,https://upload.wikimedia.org/wikipedia/commons/b/b1/Yellow_card.svg,group stage,1998 FIFA Men's World Cup,BEL,"","",65',second half,Belgium vs South Korea,M-1998-41,1998,Qtr 2,June,25,Group E,B-1859,1,5,0,0,0,0,65,1,0
P-10140,Alexandros Tziolis,T-33,Greece,WC-2010,https://upload.wikimedia.org/wikipedia/commons/b/b1/Yellow_card.svg,group stage,2010 FIFA Men's World Cup,GRC,"","",59',second half,Greece vs Nigeria,M-2010-19,2010,Qtr 2,June,17,Group B,B-2791,1,6,0,0,0,0,59,1,0
P-10167,Daniel Arzani,T-04,Australia,WC-2018,https://upload.wikimedia.org/wikipedia/commons/b/b1/Yellow_card.svg,group stage,2018 FIFA Men's World Cup,AUS,"","",60',second half,Australia vs Peru,M-2018-37,2018,Qtr 2,June,26,Group C,B-3475,1,17,0,0,0,0,60,1,0
P-10172,Jan Bednarek,T-57,Poland,WC-2018,https://upload.wikimedia.org/wikipedia/commons/b/b1/Yellow_card.svg,group stage,2018 FIFA Men's World Cup,POL,"","",61',second half,Poland vs Colombia,M-2018-32,2018,Qtr 2,June,24,Group H,B-3454,1,5,0,0,0,0,61,1,0
P-10326,Steven Berghuis,T-48,Netherlands,WC-2022,https://upload.wikimedia.org/wikipedia/commons/b/b1/Yellow_card.svg,quarter-finals,2022 FIFA Men's World Cup,NLD,"","",88',second half,Netherlands vs Argentina,M-2022-58,2022,Qtr 4,December,9,not applicable,B-3903,1,11,0,0,0,0,88,1,0
P-10435,Murdo MacLeod,T-64,Scotland,WC-1990,https://upload.wikimedia.org/wikipedia/commons/b/b1/Yellow_card.svg,group stage,1990 FIFA Men's World Cup,SCO,"","",8',first half,Brazil vs Scotland,M-1990-31,1990,Qtr 2,June,20,Group C,B-1283,1,10,0,0,0,0,8,0,1
P-10490,David Nyathi,T-70,South Africa,WC-1998,https://upload.wikimedia.org/wikipedia/commons/b/b1/Yellow_card.svg,group stage,1998 FIFA Men's World Cup,ZAF,"","",28',first half,South Africa vs Denmark,M-1998-21,1998,Qtr 2,June,18,Group C,B-1779,1,3,0,0,0,0,28,1,0
P-10493,Sergei Borovsky,T-72,Soviet Union,WC-1982,https://upload.wikimedia.org/wikipedia/commons/b/b1/Yellow_card.svg,second group stage,1982 FIFA Men's World Cup,SUN,"","",87',second half,Soviet Union vs Poland,M-1982-46,1982,Qtr 3,July,4,Group 1,B-1028,1,14,0,0,0,0,87,1,0
P-10537,Carlos de los Cobos,T-46,Mexico,WC-1986,https://upload.wikimedia.org/wikipedia/commons/b/b1/Yellow_card.svg,quarter-finals,1986 FIFA Men's World Cup,MEX,"","",75',second half,West Germany vs Mexico,M-1986-46,1986,Qtr 2,June,21,not applicable,B-1168,1,6,0,0,0,0,75,0,1
P-10561,Ã‰dgar BÃ¡rcenas,T-54,Panama,WC-2018,https://upload.wikimedia.org/wikipedia/commons/b/b1/Yellow_card.svg,group stage,2018 FIFA Men's World Cup,PAN,"","",45'+2',"first half, stoppage time",Belgium vs Panama,M-2018-13,2018,Qtr 2,June,18,Group G,B-3395,1,8,0,0,0,2,45,0,1
P-10712,RÃºben Dias,T-58,Portugal,WC-2022,https://upload.wikimedia.org/wikipedia/commons/b/b1/Yellow_card.svg,group stage,2022 FIFA Men's World Cup,PRT,"","",89',second half,Portugal vs Uruguay,M-2022-32,2022,Qtr 4,November,28,Group H,B-3820,1,4,0,0,0,0,89,1,0
P-10713, Cacau,T-31,Germany,WC-2010,https://upload.wikimedia.org/wikipedia/commons/b/b1/Yellow_card.svg,group stage,2010 FIFA Men's World Cup,DEU,"","",90'+2',"second half, stoppage time",Germany vs Australia,M-2010-08,2010,Qtr 2,June,13,Group D,B-2759,1,19,0,0,0,2,90,1,0
